"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","familiarity","fit_1","fit_2","fit_3","fit_4","fit_5","fit_6","attitude_1","attitude_2","attitude_3","similarity_1","similarity_2","similarity_3","similarity_4","similarity_5","cohesiveness_1","cohesiveness_2","cohesiveness_3","cohesiveness_4","age","gender","country","edu","field","field_2_TEXT","email","FL_9_DO"
"1","Start Date","End Date","Response Type",NA,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","How familiar are you with UNICEF?","How would you define the sponsorship between UNICEF and the sponsor you just saw? - Illogical:Logical","How would you define the sponsorship between UNICEF and the sponsor you just saw? - Poorly matched:Well matched","How would you define the sponsorship between UNICEF and the sponsor you just saw? - Poorly suited:Well suited","How would you define the sponsorship between UNICEF and the sponsor you just saw? - Inconsistent:Consistent","How would you define the sponsorship between UNICEF and the sponsor you just saw? - Not complementary:Complementary","How would you define the sponsorship between UNICEF and the sponsor you just saw? - Inappropriate:Appropriate","What is your attitude towards the sponsorship between UNICEF and the sponsor you just saw? - Negative:Positive","What is your attitude towards the sponsorship between UNICEF and the sponsor you just saw? - Unfavorable:Favorable","What is your attitude towards the sponsorship between UNICEF and the sponsor you just saw? - Bad:Good","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The sponsor and UNICEF stand for similar things","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The sponsor and UNICEF have similar goals","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The image of the sponsor and the image of UNICEF are similar","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The ideas I associate with the sponsor are similar to the ideas I associate with UNICEF","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - Please, choose Somewhat agree","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The sponsor clearly communicates what it stands for","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The image of the sponsor is difficult to understand","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The characteristics of the sponsor are coherent between them","Please state how much you agree with the following statements, from strongly disagree to strongly agree: - The sponsor has a concrete image","What is your age?","What is your gender?","List of Countries","What is the highest level of education you have completed?","What is your educational or professional field? - Selected Choice","What is your educational or professional field? - Other - Text",NA,"FL_9 - Block Randomizer - Display Order"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",NA,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_2_TEXT""}",NA,"{""ImportId"":""FL_9_DO""}"
"3","2021-04-29 07:42:05","2021-04-29 07:43:52","IP Address",NA,"100","107","True","2021-04-29 07:43:53","R_3ML32SQiQOtBQdQ","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","4","4","5","4","4","5","5","5","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","22","Female","Netherlands","Bachelor's degree","Other","x",NA,"sponsor2"
"4","2021-04-29 07:45:54","2021-04-29 07:47:02","IP Address",NA,"100","67","True","2021-04-29 07:47:02","R_20OsRK2d3NbVUac","","","","",NA,NA,"anonymous","EN","Extremely familiar","5","5","5","5","5","7","6","6","6","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","24","Male","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor1"
"5","2021-04-29 07:49:11","2021-04-29 07:50:04","IP Address",NA,"100","52","True","2021-04-29 07:50:04","R_ZCuFUAOEZ7MVMgV","","","","",NA,NA,"anonymous","EN","Not familiar at all","5","6","4","5","4","6","6","6","7","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","22","Male","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor2"
"6","2021-04-29 07:50:17","2021-04-29 07:54:40","IP Address",NA,"100","263","True","2021-04-29 07:54:40","R_2EsllmVFeHGjTEs","","","","",NA,NA,"anonymous","EN","Moderately familiar","6","5","4","5","4","5","5","6","5","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","22","Female","Netherlands","High school","Other","Communication",NA,"sponsor3"
"7","2021-04-29 07:52:26","2021-04-29 07:55:26","IP Address",NA,"100","179","True","2021-04-29 07:55:26","R_ZCTcNDxpcFFAkKJ","","","","",NA,NA,"anonymous","EN","Moderately familiar","2","2","2","2","1","3","4","4","3","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","27","Female","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor4"
"8","2021-04-29 07:53:59","2021-04-29 07:55:29","IP Address",NA,"100","89","True","2021-04-29 07:55:29","R_3DoOU6fTkKAe9Us","","","","",NA,NA,"anonymous","EN","Moderately familiar","6","6","7","6","6","7","7","7","7","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","23","Male","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor1"
"9","2021-04-29 07:51:50","2021-04-29 07:56:09","IP Address",NA,"100","259","True","2021-04-29 07:56:10","R_2aXDVKQwjwXuD1D","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","3","3","2","5","5","5","5","5","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","22","Male","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"10","2021-04-29 07:55:45","2021-04-29 07:59:10","IP Address",NA,"100","205","True","2021-04-29 07:59:10","R_bdefNq6TlQEM1xL","","","","",NA,NA,"anonymous","EN","Extremely familiar","7","7","7","6","5","7","7","7","7","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","22","Male","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"11","2021-04-29 07:58:58","2021-04-29 08:02:54","IP Address",NA,"100","235","True","2021-04-29 08:02:54","R_1LHUeEwNTG4BLfb","","","","",NA,NA,"anonymous","EN","Moderately familiar","2","3","3","2","2","4","3","3","3","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","23","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor2"
"12","2021-04-29 08:01:17","2021-04-29 08:03:43","IP Address",NA,"100","145","True","2021-04-29 08:03:43","R_3MPvQPI8j5VG9xN","","","","",NA,NA,"anonymous","EN","Very familiar","6","6","7","6","4","6","6","6","7","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","21","Female","France","Bachelor's degree","Business or related","",NA,"sponsor1"
"13","2021-04-29 08:00:43","2021-04-29 08:03:50","IP Address",NA,"100","186","True","2021-04-29 08:03:50","R_1msk3vr5EWPa7JS","","","","",NA,NA,"anonymous","EN","Very familiar","1","1","1","1","1","1","2","2","1","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","22","Male","United Kingdom of Great Britain and Northern Ireland","Bachelor's degree","Other","psychology",NA,"sponsor4"
"14","2021-04-29 08:04:11","2021-04-29 08:05:38","IP Address",NA,"100","86","True","2021-04-29 08:05:39","R_10VQKh11J60srIk","","","","",NA,NA,"anonymous","EN","Extremely familiar","6","6","5","5","5","5","5","5","5","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","23","Male","Netherlands","Master's degree","Other","marketing",NA,"sponsor3"
"15","2021-04-29 08:02:23","2021-04-29 08:05:48","IP Address",NA,"100","204","True","2021-04-29 08:05:48","R_3CNrHzFgA35wLNx","","","","",NA,NA,"anonymous","EN","Moderately familiar","5","5","6","6","4","6","5","6","6","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","22","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor1"
"16","2021-04-29 08:07:10","2021-04-29 08:09:22","IP Address",NA,"100","132","True","2021-04-29 08:09:23","R_qxqmvpvWKj7XRkd","","","","",NA,NA,"anonymous","EN","Slightly familiar","6","5","6","6","5","7","6","7","7","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","23","Male","Italy","Bachelor's degree","Business or related","",NA,"sponsor2"
"17","2021-04-29 08:08:12","2021-04-29 08:10:54","IP Address",NA,"100","161","True","2021-04-29 08:10:56","R_vwr0zJQPnOz5apP","","","","",NA,NA,"anonymous","EN","Moderately familiar","6","5","5","6","5","6","6","6","6","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","25","Male","Sweden","High school","Other","Cognition Science",NA,"sponsor1"
"18","2021-04-29 08:09:18","2021-04-29 08:12:01","IP Address",NA,"100","163","True","2021-04-29 08:12:01","R_XSsemAsqZ9Ae2XL","","","","",NA,NA,"anonymous","EN","Moderately familiar","2","3","3","2","3","4","3","3","3","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","24","Male","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"19","2021-04-29 08:11:36","2021-04-29 08:13:17","IP Address",NA,"100","100","True","2021-04-29 08:13:17","R_3HpQylsZ2Zb0mQC","","","","",NA,NA,"anonymous","EN","Moderately familiar","6","4","5","6","4","6","5","4","5","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","21","Female","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor3"
"20","2021-04-29 08:10:44","2021-04-29 08:13:48","IP Address",NA,"100","184","True","2021-04-29 08:13:48","R_pFf6JdfwtSRuIZr","","","","",NA,NA,"anonymous","EN","Very familiar","6","7","6","7","4","6","7","7","7","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","26","Female","Italy","Master's degree","Business or related","",NA,"sponsor1"
